,ID,ColonyID,Site,SiteType,Latitude,Longitude,Age,Orientation
E1,E1,epj1,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E10,E10,epj10,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E11,E11,epj11,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E12,E12,epj12,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E13,E13,epj13,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E14,E14,epj14,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E15,E15,epj15,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E16,E16,epj16,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E17,E17,epj17,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E18,E18,epj18,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E19,E19,epj19,sePelorus,exposed,-18.56065,146.50117,juvenile,-
E2,E2,epj2,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E20,E20,epj20,sePelorus,exposed,-18.56065,146.50117,juvenile,-
E21,E21,epa1,nePelorus,exposed,-18.55018,146.50443,adult,side
E22,E22,epa1,nePelorus,exposed,-18.55018,146.50443,adult,top
E23,E23,epa2,nePelorus,exposed,-18.55018,146.50443,adult,side
E24,E24,epa2,nePelorus,exposed,-18.55018,146.50443,adult,top
E25,E25,epa2,nePelorus,exposed,-18.55018,146.50443,adult,side
E26,E26,epa1,nePelorus,exposed,-18.55018,146.50443,adult,side
E27,E27,epa3,nePelorus,exposed,-18.55018,146.50443,adult,side
E28,E28,epa3,nePelorus,exposed,-18.55018,146.50443,adult,top
E29,E29,epa3,nePelorus,exposed,-18.55018,146.50443,adult,side
E3,E3,epj3,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E30,E30,epa4,nePelorus,exposed,-18.55018,146.50443,adult,side
E31,E31,epa4,nePelorus,exposed,-18.55018,146.50443,adult,top
E32,E32,epa4,nePelorus,exposed,-18.55018,146.50443,adult,side
E33,E33,epa5,nePelorus,exposed,-18.55018,146.50443,adult,side
E34,E34,epa5,nePelorus,exposed,-18.55018,146.50443,adult,top
E35,E35,epa5,nePelorus,exposed,-18.55018,146.50443,adult,side
E36,E36,epa6,sePelorus,exposed,-18.56065,146.50117,adult,side
E37,E37,epa6,sePelorus,exposed,-18.56065,146.50117,adult,top
E38,E38,epa6,sePelorus,exposed,-18.56065,146.50117,adult,side
E39,E39,epa7,sePelorus,exposed,-18.56065,146.50117,adult,side
E4,E4,epj4,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E40,E40,epa7,sePelorus,exposed,-18.56065,146.50117,adult,top
E41,E41,epa7,sePelorus,exposed,-18.56065,146.50117,adult,side
E42,E42,epa8,sePelorus,exposed,-18.56065,146.50117,adult,side
E43,E43,epa8,sePelorus,exposed,-18.56065,146.50117,adult,top
E44,E44,epa8,sePelorus,exposed,-18.56065,146.50117,adult,side
E5,E5,epj5,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E51,E51,epa9,nePelorus,exposed,-18.55018,146.50443,adult,side
E52,E52,epa9,nePelorus,exposed,-18.55018,146.50443,adult,top
E53,E53,epa9,nePelorus,exposed,-18.55018,146.50443,adult,side
E6,E6,epj6,nePelorus,exposed,-18.55018,146.50443,juvenile,-
E61,E61,epa10,nePelorus,exposed,-18.55018,146.50443,adult,side
E62,E62,epa10,nePelorus,exposed,-18.55018,146.50443,adult,top
E63,E63,epa10,nePelorus,exposed,-18.55018,146.50443,adult,side
