SampleID,Edited ID,ColonyID,Site,SiteType,Latitude,Longitude,Age,Orientation,,,,,,,,,,,,,,,,,
PS21,L21,pba1,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS22,L22,pba1,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS23,L23,pba1,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS24,L24,pba2,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS25,L25,pba2,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS26,L26,pba2,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS27,L27,pba3,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS28,L28,pba3,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS29,L29,pba3,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS30,L30,pba4,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS31,L31,pba4,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS32,L32,pba4,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS33,L33,pba5,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS34,L34,pba5,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS35,L35,pba5,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS36,L36,pba6,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS37,L37,pba6,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS38,L38,pba6,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS39,L39,pba7,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS40,L40,pba7,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS41,L41,pba7,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS42,L42,pba8,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS43,L43,pba8,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS44,L44,pba8,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS45,L45,pba9,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS46,L46,pba9,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS47,L47,pba9,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS48,L48,pba10,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PS49,L49,pba10,pioneerBay,sheltered,-18.60026,146.48981,adult,top,,,,,,,,,,,,,,,,,
PS50,L50,pba10,pioneerBay,sheltered,-18.60026,146.48981,adult,side,,,,,,,,,,,,,,,,,
PE1,E1,epj1,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE2,E2,epj2,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE3,E3,epj3,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
PE4,E4,epj4,nePelorus,exposed,-18.55018,146.50443,juvenile,-,,,,,,,,,,,,,,,,,
